"Communion: The Female Search for Love (Love Song to the Nation, 2)",bell hooks,0,4.35,"to-read, theory",to-read,0,
The Tragedy of Heterosexuality,Jane Ward,0,4.19,"to-read, theory",to-read,0,
Feminism Is for Everybody: Passionate Politics,bell hooks,0,4.15,"to-read, theory",to-read,0,
Feminist Theory: From Margin to Center,bell hooks,0,4.43,"to-read, theory",to-read,0,
Big Fish,Daniel Wallace,0,3.68,"to-read, fiction",to-read,0,
The Troop,Nick Cutter,0,3.84,"to-read, fiction",to-read,0,
theMystery.doc,Matthew  McIntosh,0,2.98,"to-read, fiction",to-read,0,
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,0,4.06,"to-read, fiction",to-read,0,
Cult Classic,Sloane Crosley,0,3.38,"to-read, fiction",to-read,0,
Horrorstör,Grady Hendrix,0,3.66,"to-read, fiction",to-read,0,
Tree of Codes,Jonathan Safran Foer,0,3.85,"to-read, fiction",to-read,0,
Ship of Theseus,J.J. Abrams,0,3.87,"to-read, fiction",to-read,0,
"Illuminae (The Illuminae Files, #1)",Amie Kaufman,0,4.25,"to-read, fiction",to-read,0,
House of Leaves,Mark Z. Danielewski,0,4.09,"to-read, else",to-read,0,
permission to love,Karlee Rose North,0,4.13,"to-read, poetry",to-read,0,
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,0,4.21,"to-read, theory",to-read,0,
"Women, Race & Class",Angela Y. Davis,0,4.57,"to-read, theory",to-read,0,
